code,long_name
MUP,Machinary UPKEEP
MW,Manual Weeding
MWO,Manual Weeding - Other
MWU,
NCU,
NEC,
NF,
NFB,
NH,
NM,
NPB,
NPC,
NR,
NSK,
NTA,Native Tree After Care
NTC,Native Tree Census
NTF,Native Tree Fertilising
NTP,Native Tree Planting
NTR,Native Tree re-supply
NTW,Native Tree Weeding
NULB,NURSERY LOADING BAGS
NW,
NWA,Watering - Other
NWC,
NWT,
OFP,
OFTR,OFFICE TRAINEE
OFW,
OHOL,Holling - Other
OLANC,Land Clearing - Other
OLIN,Linning - Other
OPL,OUTSIDE PLUCKING
OTH,
OTPRL,OTHER PROJECTS LABOUR
PAT,PANEL TREATMENT
PCC,PC Cutting
PCM,Paking Labour
PCS,
PD,
PDD,
PDO,Pest & Deseas - Other
PDR,PEST & DISEASES
PDRI,Personal Driver
PFL,
PFM,
PFW,
PH,Public Holiday
PKG,Plucking Kangani
PL,
PLA,
PLK,Plucking
PLM,
PLO,Planting - Other
PLP,PLANTING PROJECT
PLS,Planting Shade
PLT,
PR,Pruning - Manual
PRL,
PSV,
PT,
Plucker,Plucking
R,
RAB,RAVINES & BOUNDRIES
RB,Revenues and Boudaries
RCW,
RD,Roads and Bridges
RDO,Roads - Othes
REB,RE-BLOCKING
RESTCK,Re-stacking Nursery
RF,
RFA,
RGL,Rain Guard Labour
RO,
ROB,
ROL,Rolling
RP,
RRB,
RRD,
RS,REMOVING SHOOTS
RSM,Outgrower Works - RSM
RT,Refuse Tea Factory Labour
RTL,Refuse Tea Loading
RV,
SBU,
SCC,SCRAP COLLECTING
SCK,
SCTR,TRANSPORT HELPER
SDA,
SE,
SHA,Shading
SHR,SHOOT REMOVING
SIT,SIFTING
SITECL,Cleaning the site
SITN,SIFTIN NIGHT
SL,Sack labour
SLT,
SOI,
SOIL,Soil Conservation
SOILC,Soil collection
SOILTRA,Transport of soil
SOV,
SP,
SQ,
STACKN,Stacking Nursery
STIP,SILVER TIPS
STKHL,STOCK HANDLING LABOUR
STO,Staking - Other
STU,Stores Upkeep
SUO,RE SUPPLYING - OTHER
SUP,
SUR,RESUPPLYING
SURV,SURVEY
SWA,
TAP,TAPPING
TAPSUN,Special Sunday Tapping
TAS,Tapping Shaving
TBP,
TC,
TCHELP,TEA CENTER HELPER
TCL,
TER,Terrasing
TIMCEN,Timber Census
TIP,TIPPING
TK,TAPPING KANGANI
TNCN,
TP,Tappal Runner
TRABAG,Transport of filled bags
TSC,
TTRA,Tea Transport
TUB,TIED UP BUSH
UM,
UMA,Loading/Unloading Goods
UMAC,LOADING UNLOADING CAPITAL
UNFER,UNLOADING FERTILISER
UPCEN,Uprooting Census
UPKG,UPKEEP
UPKO,Upkeep - Others
UWC,
VEGPRLL,VEGITABAL PROJECT LENT LABOUR
VH,
WAM,
WAT,
WD,Withering
WDC,Wither Leaf Collecting
WDR,
WF,Welfair Work
WH,WORKER HOUSING
WO,
WS,Water Supply
WSB,WATER SUPPEIR FOR BUNGALOWS
WSF,Factory Water Supply
WSP,
WT,Watcher/ Security
WTO,WATCHER - OTHER
XPR,Previous Year Holiday
XXX,Estate Not Offered
